date,bengaluru_rainfall
2015-01-01,9.0
2015-02-01,0.0
2015-03-01,37.7
2015-04-01,225.8
2015-05-01,178.4
2015-06-01,85.3
2015-07-01,94.1
2015-08-01,110.0
2015-09-01,189.8
2015-10-01,47.0
2015-11-01,296.4
2015-12-01,5.1
2016-01-01,4.4
2016-02-01,0.0
2016-03-01,19.9
2016-04-01,21.9
2016-05-01,140.6
2016-06-01,191.3
2016-07-01,209.4
2016-08-01,82.8
2016-09-01,33.2
2016-10-01,11.5
2016-11-01,1.5
2016-12-01,74.9
2017-01-01,0.2
2017-02-01,0.0
2017-03-01,47.8
2017-04-01,30.4
2017-05-01,241.9
2017-06-01,25.1
2017-07-01,59.0
2017-08-01,351.8
2017-09-01,513.8
2017-10-01,385.7
2017-11-01,20.6
2017-12-01,19.7
2018-01-01,0.0
2018-02-01,1.8
2018-03-01,47.6
2018-04-01,34.1
2018-05-01,140.4
2018-06-01,29.5
2018-07-01,94.2
2018-08-01,70.9
2018-09-01,106.9
2018-10-01,63.3
2018-11-01,12.8
2018-12-01,16.2
2019-01-01,0.8
2019-02-01,58.0
2019-03-01,0.0
2019-04-01,41.2
2019-05-01,136.7
2019-06-01,58.4
2019-07-01,93.9
2019-08-01,142.8
2019-09-01,211.4
2019-10-01,196.3
2019-11-01,8.0
2019-12-01,12.6
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,18.4
2020-04-01,121.1
2020-05-01,128.6
2020-06-01,114.8
2020-07-01,158.3
2020-08-01,75.9
2020-09-01,300.0
2020-10-01,204.3
2020-11-01,71.0
2020-12-01,20.4
