date,bengaluru_wholesaleprice,bengaluru_retailprice,bengaluru_volume
2015-01-01,1758,2791,74978
2015-02-01,1815,2750,42164
2015-03-01,1576,2396,41339
2015-04-01,1455,2260,43534
2015-05-01,1725,2458,44227
2015-06-01,2182,3145,43403
2015-07-01,2357,3314,45957
2015-08-01,2727,4029,83437
2015-09-01,2536,4391,114533
2015-10-01,2223,3914,173788
2015-11-01,2664,4264,77516
2015-12-01,1494,3000,53853
2016-01-01,1758,2770,32806
2016-02-01,1569,2592,21241
2016-03-01,1246,2274,22587
2016-04-01,1153,2105,22022
2016-05-01,1004,2050,23161
2016-06-01,1048,2091,22649
2016-07-01,929,2000,21285
2016-08-01,863,2000,27800
2016-09-01,786,2000,23551
2016-10-01,805,2027,28165
2016-11-01,1086,2145,25731
2016-12-01,910,2040,29308
2017-01-01,738,1421,57637
2017-02-01,754,1333,35628
2017-03-01,685,1238,45279
2017-04-01,622,1213,48714
2017-05-01,581,1055,49261
2017-06-01,713,1279,54196
2017-07-01,740,1292,49617
2017-08-01,1987,3096,27910
2017-09-01,1511,2573,53549
2017-10-01,1987,3189,98684
2017-11-01,3011,4578,65469
2017-12-01,2991,4295,45268
2018-01-01,2859,4130,43258
2018-02-01,1526,2653,36718
2018-03-01,882,1721,52904
2018-04-01,608,1290,53721
2018-05-01,638,1262,44139
2018-06-01,824,1446,69265
2018-07-01,1036,1756,55239
2018-08-01,1059,1882,55729
2018-09-01,967,1722,61700
2018-10-01,1112,1800,129269
2018-11-01,1071,1805,137285
2018-12-01,639,1265,65121
2019-01-01,545,1586,61363
2019-02-01,491,1035,50224
2019-03-01,646,1217,53392
2019-04-01,740,1405,48478
2019-05-01,796,1513,45229
2019-06-01,1123,1900,47577
2019-07-01,1113,1859,52246
2019-08-01,1577,2625,51765
2019-09-01,2620,3978,63188
2019-10-01,2463,3825,139206
2019-11-01,4771,8367,102924
2019-12-01,7792,10604,50300
2020-01-01,3280,5500,39474
2020-02-01,1966,3384,44473
2020-03-01,1494,2638,46386
2020-04-01,1494,2638,46386
2020-05-01,1494,2638,46386
2020-06-01,850,1436,45336
2020-07-01,825,1400,14927
