date,bengaluru_wholesaleprice,bengaluru_retailprice,bengaluru_volume,bengaluru_avg._temperature
2015-01-01,1758,2770,32806,20.8
2015-02-01,1569,2592,21241,22.9
2015-03-01,1246,2274,22587,25.5
2015-04-01,1153,2105,22022,27.1
2015-05-01,1004,2050,23161,26.9
2015-06-01,1048,2091,22649,24.4
2015-07-01,929,2000,21285,23.3
2015-08-01,863,2000,27800,23.4
2015-09-01,786,2000,23551,23.2
2015-10-01,805,2027,28165,23.1
2015-11-01,1086,2145,25731,21.8
2015-12-01,910,2040,29308,20.7
2016-01-01,817,1907,25623,20.8
2016-02-01,926,2016,22513,22.9
2016-03-01,952,1996,26782,25.5
2016-04-01,1288,2241,21523,27.1
2016-05-01,1579,2554,24997,26.9
2016-06-01,1474,2748,24396,24.4
2016-07-01,1507,2961,22545,23.3
2016-08-01,1602,2991,24448,23.4
2016-09-01,1462,2867,21805,23.2
2016-10-01,1234,2541,36499,23.1
2016-11-01,1376,2661,25647,21.8
2016-12-01,1203,2564,23392,20.7
2017-01-01,1050,2396,25750,20.8
2017-02-01,992,2206,17580,22.9
2017-03-01,980,2222,21476,25.5
2017-04-01,1088,2335,18703,27.1
2017-05-01,1102,2229,22687,26.9
2017-06-01,999,2141,25415,24.4
2017-07-01,926,2070,28219,23.3
2017-08-01,970,2170,12283,23.4
2017-09-01,895,2009,14569,23.2
2017-10-01,992,2126,21530,23.1
2017-11-01,1112,2357,25348,21.8
2017-12-01,1339,2509,27044,20.7
2018-01-01,1491,2735,23996,20.8
2018-02-01,1218,2205,15857,22.9
2018-03-01,1311,2205,17409,25.5
2018-04-01,1643,2560,23937,27.1
2018-05-01,2074,3114,17376,26.9
2018-06-01,2042,3217,22862,24.4
2018-07-01,1782,2836,24486,23.3
2018-08-01,1593,2881,26890,23.4
2018-09-01,1533,2911,19218,23.2
2018-10-01,1807,3029,33018,23.1
2018-11-01,1666,2853,25270,21.8
2018-12-01,1267,2522,24496,20.7
2019-01-01,1389,2482,26396,20.8
2019-02-01,1165,2243,23817,22.9
2019-03-01,1058,2200,22030,25.5
2019-04-01,1183,2359,25178,27.1
2019-05-01,1283,2491,21469,26.9
2019-06-01,1563,2863,27443,24.4
2019-07-01,1267,2452,29709,23.3
2019-08-01,1173,2258,30570,23.4
2019-09-01,1522,2722,29878,23.2
2019-10-01,1410,2521,33506,23.1
2019-11-01,1477,2727,27323,21.8
2019-12-01,1848,3454,25949,20.7
2020-01-01,2125,3550,18504,20.8
2020-02-01,1713,3179,17023,22.9
2020-03-01,1506,2750,13297,25.5
2020-04-01,1506,2750,13297,27.1
2020-05-01,1506,2750,13297,26.9
2020-06-01,1912,3060,18400,24.4
2020-07-01,2281,3813,4272,23.3
