date,bengaluru_wholesaleprice,bengaluru_retailprice,bengaluru_volume,bengaluru_avg._temperature,bengaluru_rainfall,diesel_price,jaipur_retailprice,pune_retailprice
2015-01-01,1758,2770,32806,20.8,9.0,60.7,1271,1902
2015-02-01,1569,2592,21241,22.9,0.0,65.19,1162,1755
2015-03-01,1246,2274,22587,25.5,37.7,63.3,1077,1465
2015-04-01,1153,2105,22022,27.1,225.8,65.67,867,1160
2015-05-01,1004,2050,23161,26.9,178.4,67.05,813,1537
2015-06-01,1048,2091,22649,24.4,85.3,70.39,805,1677
2015-07-01,929,2000,21285,23.3,94.1,68.35,805,1459
2015-08-01,863,2000,27800,23.4,110.0,69.97,805,1240
2015-09-01,786,2000,23551,23.2,189.8,72.68,805,1303
2015-10-01,805,2027,28165,23.1,47.0,75.48,805,1368
2015-11-01,1086,2145,25731,21.8,296.4,74.16,805,1600
2015-12-01,910,2040,29308,20.7,5.1,67.7,1340,1476
2016-01-01,817,1907,25623,20.8,4.4,63.01,963,1670
2016-02-01,926,2016,22513,22.9,0.0,67.88,1100,1835
2016-03-01,952,1996,26782,25.5,19.9,69.35,1383,1770
2016-04-01,1288,2241,21523,27.1,21.9,68.23,1441,1983
2016-05-01,1579,2554,24997,26.9,140.6,68.87,1441,2305
2016-06-01,1474,2748,24396,24.4,191.3,68.57,1441,2350
2016-07-01,1507,2961,22545,23.3,209.4,66.41,1441,2442
2016-08-01,1602,2991,24448,23.4,82.8,68.18,1441,2175
2016-09-01,1462,2867,21805,23.2,33.2,67.3,1441,2175
2016-10-01,1234,2541,36499,23.1,11.5,69.74,1441,1911
2016-11-01,1376,2661,25647,21.8,1.5,68.02,1500,1910
2016-12-01,1203,2564,23392,20.7,74.9,68.02,1146,1376
2017-01-01,1050,2396,25750,20.8,0.2,70.28,1260,1214
2017-02-01,992,2206,17580,22.9,0.0,68.46,1149,1003
2017-03-01,980,2222,21476,25.5,47.8,66.29,1100,1177
2017-04-01,1088,2335,18703,27.1,30.4,65.96,927,1494
2017-05-01,1102,2229,22687,26.9,241.9,65.96,886,1468
2017-06-01,999,2141,25415,24.4,25.1,65.96,886,1486
2017-07-01,926,2070,28219,23.3,59.0,66.29,886,1086
2017-08-01,970,2170,12283,23.4,351.8,77.88,886,1069
2017-09-01,895,2009,14569,23.2,513.8,77.88,800,1526
2017-10-01,992,2126,21530,23.1,385.7,76.58,800,1639
2017-11-01,1112,2357,25348,21.8,20.6,74.63,1220,1373
2017-12-01,1339,2509,27044,20.7,19.7,76.77,1388,1594
2018-01-01,1491,2735,23996,20.8,0.0,78.31,1048,1358
2018-02-01,1218,2205,15857,22.9,1.8,81.1,870,1435
2018-03-01,1311,2205,17409,25.5,47.6,86.37,1200,1733
2018-04-01,1643,2560,23937,27.1,34.1,85.75,1671,2000
2018-05-01,2074,3114,17376,26.9,140.4,85.6,1800,2221
2018-06-01,2042,3217,22862,24.4,29.5,90.51,1955,2262
2018-07-01,1782,2836,24486,23.3,94.2,94.54,2000,2418
2018-08-01,1593,2881,26890,23.4,70.9,95.26,2000,2305
2018-09-01,1533,2911,19218,23.2,106.9,94.19,2000,2406
2018-10-01,1807,3029,33018,23.1,63.3,95.7,1992,2630
2018-11-01,1666,2853,25270,21.8,12.8,104.5,1864,2613
2018-12-01,1267,2522,24496,20.7,16.2,85.01,1010,2271
2019-01-01,1389,2482,26396,20.8,0.8,85.01,1452,1859
2019-02-01,1165,2243,23817,22.9,58.0,85.01,1638,1916
2019-03-01,1058,2200,22030,25.5,0.0,91.27,1500,2126
2019-04-01,1183,2359,25178,27.1,41.2,94.79,1500,2083
2019-05-01,1283,2491,21469,26.9,136.7,101.94,1500,2535
2019-06-01,1563,2863,27443,24.4,58.4,87.89,1500,2213
2019-07-01,1267,2452,29709,23.3,93.9,87.89,1500,2200
2019-08-01,1173,2258,30570,23.4,142.8,87.89,1500,2423
2019-09-01,1522,2722,29878,23.2,211.4,87.89,1500,2360
2019-10-01,1410,2521,33506,23.1,196.3,87.89,1836,2500
2019-11-01,1477,2727,27323,21.8,8.0,87.89,1840,3163
2019-12-01,1848,3454,25949,20.7,12.6,87.89,2088,3529
2020-01-01,2125,3550,18504,20.8,0.0,78.31,2578,4000
2020-02-01,1713,3179,17023,22.9,0.0,81.1,2000,3467
2020-03-01,1506,2750,13297,25.5,18.4,86.37,2050,3000
2020-04-01,1506,2750,13297,27.1,121.1,85.75,2050,3000
2020-05-01,1506,2750,13297,26.9,128.6,85.6,2050,3000
2020-06-01,1912,3060,18400,24.4,114.8,90.51,2050,4000
2020-07-01,2281,3813,4272,23.3,158.3,94.54,2050,4471
