date,bengaluru_wholesaleprice,bengaluru_retailprice,bengaluru_volume,bengaluru_avg._temperature
2015-01-01,1295,1961,30762,20.8
2015-02-01,829,1392,11995,22.9
2015-03-01,776,1296,13511,25.5
2015-04-01,995,1640,8964,27.1
2015-05-01,2115,2888,11665,26.9
2015-06-01,1318,2095,11969,24.4
2015-07-01,1748,2505,10460,23.3
2015-08-01,631,1204,13605,23.4
2015-09-01,705,1318,12390,23.2
2015-10-01,1464,2205,13393,23.1
2015-11-01,3236,4464,10978,21.8
2015-12-01,2364,3616,8097,20.7
2016-01-01,2338,3592,1594,20.8
2016-02-01,594,1150,1375,22.9
2016-03-01,570,932,1380,25.5
2016-04-01,1166,1827,1132,27.1
2016-05-01,2942,4054,1071,26.9
2016-06-01,4223,5669,1087,24.4
2016-07-01,1725,2658,1158,23.3
2016-08-01,480,1022,1184,23.4
2016-09-01,677,1300,694,23.2
2016-10-01,934,1814,1108,23.1
2016-11-01,430,991,1143,21.8
2016-12-01,413,935,1140,20.7
2017-01-01,681,1271,1098,20.8
2017-02-01,1650,2361,723,22.9
2017-03-01,1858,2617,874,25.5
2017-04-01,1004,1717,872,27.1
2017-05-01,627,1277,874,26.9
2017-06-01,1896,2879,886,24.4
2017-07-01,5569,7250,819,23.3
2017-08-01,3265,4648,854,23.4
2017-09-01,1332,2218,911,23.2
2017-10-01,2405,3580,848,23.1
2017-11-01,4011,5404,928,21.8
2017-12-01,1502,2452,1010,20.7
2018-01-01,658,1217,1144,20.8
2018-02-01,658,1240,923,22.9
2018-03-01,626,1126,895,25.5
2018-04-01,875,1485,935,27.1
2018-05-01,981,1605,1029,26.9
2018-06-01,1017,1604,1185,24.4
2018-07-01,1608,2268,1210,23.3
2018-08-01,964,1550,1121,23.4
2018-09-01,744,1272,838,23.2
2018-10-01,679,1171,1044,23.1
2018-11-01,869,1471,1035,21.8
2018-12-01,1191,1796,1646,20.7
2019-01-01,2382,3477,967,20.8
2019-02-01,1589,2257,1191,22.9
2019-03-01,1421,2142,999,25.5
2019-04-01,2125,3168,865,27.1
2019-05-01,2896,4300,899,26.9
2019-06-01,2606,3942,920,24.4
2019-07-01,2185,3374,1080,23.3
2019-08-01,1679,2679,968,23.4
2019-09-01,1063,1826,967,23.2
2019-10-01,2296,3642,1236,23.1
2019-11-01,1825,2992,1031,21.8
2019-12-01,1496,2535,1084,20.7
2020-01-01,1550,2535,795,20.8
2020-02-01,1197,2084,773,22.9
2020-03-01,838,1431,687,25.5
2020-04-01,838,1431,687,27.1
2020-05-01,838,1431,687,26.9
2020-06-01,1540,2532,1433,24.4
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
2020-07-01,2381,3563,409,23.3
